User,CaseStatus,DokumentType,Parent,Creator,Action,Access
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,CREATE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,REMOVE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,REMOVE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,NONE,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,NONE,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,ROL_QUESTIONS,NONE,REMOVE,NOT_SUPPORTED_FINISHED
